gene	H2621_L	HP25311_L	HP25337_L	HU1327_L	UWHI366R_L	H2621_H	HP25311_H	HP25337_H	HU1327_H	UWHI366R_H
KCTD18	5.559849475	8.535423051	3.29542847	7.000674275	7.357315621	5.652662335	8.095556449	4.950097927	7.484926225	7.062515964
IQCH-AS1	0.57199374	1.078555187	0.685293862	1.237617347	0.772618542	0.674199612	1.084147102	0.730797892	0.977627273	0.665607021
ZNF718	2.145186067	4.04406386	1.616983196	1.857963834	3.710441296	1.840970817	3.338790083	3.076196086	1.657507641	2.522620581
C6orf1	7.689136796	13.28518372	6.754798172	10.01078478	11.40809414	8.395042538	11.97408371	9.692235456	10.10734983	11.66433534
BTN3A1	2.297622244	1.693407135	0.364128103	1.028399869	1.919475004	2.341776228	1.649364438	0.60938826	1.405004049	1.58740951
NRSN2-AS1	3.206063782	4.167158443	4.151397703	4.516921261	2.855835019	2.215557984	3.909512729	4.399305735	5.129290244	2.613173084
ZPLD1	0.539862997	0.290848356	1.131897695	0.306318977	0.264187049	0.248801089	0.456448436	1.578753339	0.475335855	0.305004253
SF3B1	41.37573482	40.69668878	30.23521068	39.52730966	40.2983455	41.62037076	41.31521645	32.78047282	37.45618757	36.57331766
HDAC9	5.923755237	2.992843068	3.320369647	2.355920984	5.677388129	6.000674727	3.133887179	3.244089333	2.217853343	5.36097204
DIRAS3	19.93540211	27.7501876	31.77203745	12.52136148	8.864675633	18.97956803	28.42990863	29.13736271	12.28937663	9.290053677
PRPF4B	18.29342137	14.85442255	10.82631006	14.33492781	16.78269834	18.66586638	15.7650794	12.57000017	13.98757072	12.72207248
BIK	1.945244296	1.17964942	1.540352471	1.126439571	1.97351187	2.473366266	1.86879412	1.483294737	0.947043868	1.960385595
NUP62	9.366034909	7.961414167	4.702855979	9.753897796	7.965462162	8.762113416	7.743375113	5.979939273	7.877290033	7.736687751
SMARCE1	2.47717011	3.450824132	0.810736378	3.13177272	2.615261412	2.795699647	3.369575114	1.239191886	2.981045171	2.494690192
AEBP1	5.006245409	10.07602538	32.7628346	20.16536304	4.083180647	4.779733039	10.05435153	22.61228135	23.53713189	4.480027113
GPAT4	11.20533107	10.75936312	8.407850972	9.134324425	12.29506522	11.4055657	9.908283805	9.246638107	9.448342529	11.04556252
TPR	23.4889113	21.84155371	11.53560762	22.21814455	22.18836569	22.08621769	20.86416323	14.10851004	22.34074428	19.19208598
RIC8B	4.213982514	3.261916698	2.649583188	3.105147242	3.55929753	4.0742274	3.053139651	3.141582778	3.463279878	2.71724155
NAA10	1.129194598	1.197216212	1.208852066	1.060143074	1.463427845	1.415171767	1.214527593	1.388051931	1.498495812	1.111088571
KIAA0513	5.090876387	5.218951373	8.495943855	4.89223799	5.908395988	5.009353168	5.588367559	7.582253687	5.121743763	5.512048657
